Dish_Category,Dish_Name,Ingredients,Total_Calories_(kcal),Total_Protein_(g),Total_Carbs_(g),Total_Fats_(g),Flavor_Profile,Feel/Texture,Description,Price,Vegan,Vegetarian,Non-vegetarian,Keto,Gluten-free,Jain
Oriental,Lemon Coriander Soup,"Oil, Garlic Chopped, Ginger Chopped, Green Chilly, Carrots, Cabbage, Coriander, Lemon, Crispy Tofu, Glass Noodle, Malta Orange",200,8,25,10,"Tangy, Herbal","Light, Refreshing",Tangy soup with lemon and coriander.,500,Yes,Yes,No,No,Yes,Yes
Oriental,Black Pepper Chilli Oil Garlic Noodles,"Oil, Black Pepper Sauce, Garlic Chopped, Ginger Chopped, Green Chilly Chopped, Spring Onion, Tomato Ketchup, Aeromat, Dark Soy, Hakka Noodles, Capsicum, Cabbage, Chilli Oil",500,15,60,22,"Peppery, Savory","Chewy, Rich",Peppery noodles with chili oil.,500,No,Yes,No,No,No,No
Oriental,Nasi Goreng Rice,"Oil, Sambal Sauce, Basmati Rice (150g), ABC Sauce, Aromatic Chicken, Eggs, Prawns Cracker, Satay Chicken/Prawns, Pickled Cucumber, Togarashi, Scallions",550,20,60,22,"Savory, Aromatic","Fluffy, Rich",Savory Indonesian fried rice with prawn crackers.,500,No,No,Yes,No,No,No
Oriental,Wok Tossed Chowmin,"Oil, Garlic Chopped, Schezuan Sauce, Red Chilli Paste, Red Cabbage, Capsicum, Cabbage, Aeromat, Tomato Sauce, Red Chilli Sauce, Green Chilli Sauce, Eggs, Chicken (70g), Spring Onion, Hakka Noodles",500,25,55,22,"Savory, Crispy","Chewy, Crispy",Savory stir-fried noodles with vegetables.,500,No,No,Yes,No,No,No
Oriental,Thukpa Soup,"Oil, Garlic Chopped, Ginger, Carrot Chopped, Coriander, Pokchoy, Noodle Boil, Dark Soy, Maggi Masala, Aeromat, Fried Garlic, Veg Stock, Star Anise, Cinnamon, White Pepper",250,10,30,12,"Herbal, Savory","Hearty, Warm",Hearty noodle soup with Tibetan flavors.,500,Yes,Yes,No,No,Yes,Yes
Oriental,Chilli Basil Chicken/Cottage Cheese,"Oil, Chicken (120g) or Cottage Cheese (120g), Garlic Chopped, Ginger, Celery, Red Chilli, Basil Leaves, Oyster Sauce, Dark Soy, Red Chilli Paste, Aeromat, Onion, Red/Yellow Capsicum, Green Capsicum, Sugar, Tomato Sauce, Chilli Basil Sauce, Byadgi Chilli Whole, Potato Starch",Chicken: 400.00,Chicken: 35.00,25,Chicken: 20.00,"Herbal, Savory","Juicy, Tender",Savory chicken or cottage cheese with basil.,500,No,No,Yes,No,No,No
Oriental,,,Cottage Cheese: 380.00,Cottage Cheese: 25.00,,Cottage Cheese: 18.00,"Herbal, Savory","Juicy, Tender",Savory chicken or cottage cheese with basil.,500,No,Yes,No,No,No,Yes
Oriental,Pan Fried Noodles with Black Bean Sauce,"Oil, Garlic Chopped, Ginger Chopped, Green Chilly Chopped, Celery Chopped, Oyster Sauce, Black Bean Sauce, Red Chilli Paste, Aeromat, Dark Soya Sauce, Tomato Ketchup, Noodles, Broccoli, Chinese Cabbage, Pokchoy, Zucchini, Potato Starch",450,20,50,18,"Savory, Umami","Crispy, Chewy",Crispy noodles with black bean sauce and veggies.,500,No,Yes,No,No,No,No
Desserts,Vegan Panacotta,"Panacotta, Strawberry, Blueberry, Musk Melons, Grapes, Compote, Orange",250,5,40,10,"Sweet, Creamy","Smooth, Silky",Creamy vegan panna cotta with fresh fruits.,500,Yes,Yes,No,No,Yes,Yes
Desserts,Phyllo Cup,"Philo Cup, Philo Pastry Compote, Philo Pastry Cream, Red Boba, Blueberry",300,6,45,12,"Sweet, Crunchy","Crispy, Creamy",Crispy phyllo cups filled with sweet cream.,500,No,Yes,No,No,No,Yes
Desserts,Gianduja Mousse,"Mousse, Compote, Pasti Cream, Hazelnut, Sesame Chikki, Flower, Red Boba, Yellow Boba",350,8,50,15,"Nutty, Sweet","Smooth, Rich",Rich hazelnut mousse with a sweet twist.,500,No,Yes,No,No,No,Yes
Desserts,Reeces Chocolate Tart,"Peanut Butter, Chocolate, Peanut, Coffee Soil, Ice Cream",450,10,55,20,"Sweet, Nutty","Rich, Crumbly",Decadent chocolate tart with peanut butter.,500,No,Yes,No,No,No,Yes
Desserts,Creme Brulee Cheesecake,"Mix Compote, Cheesecake, Vanilla Crumble, Blueberry, Blueberry Boba",400,12,50,18,"Sweet, Creamy","Smooth, Rich",Creamy cheesecake with a caramelized top.,500,No,Yes,No,No,No,Yes
Desserts,Chia Seeds Pudding,"Chia Seed Pudding, Granola, Blueberry, Strawberry, Grapes, Pomegranate",300,10,40,12,"Sweet, Fresh","Soft, Gel-like",Soft chia pudding topped with fresh fruits.,500,Yes,Yes,No,No,Yes,Yes
Dim Sums,Edamame Dimsum,"Water Dough Edamame, Truffle Edamame Filling, Cantonese Chilly Sauce, Spicy Peanut Sauce, Chives Dip, Dimsum Butter Paper, Oil",350,15,40,18,"Umami, Nutty","Soft, Tender",Soft dimsum filled with edamame and truffle.,500,Yes,Yes,No,No,Yes,Yes
Dim Sums,Prawns and Chives Dimsum,"Water Dough for Prawns and Chives, Prawns and Chives Dimsum Filling, Cantonese Chilly Sauce, Spicy Peanut Sauce, Chives Dip, Dimsum Butter Paper, Oil",400,20,35,20,"Savory, Fresh","Juicy, Tender",Juicy dimsum filled with prawns and chives.,500,No,No,Yes,No,No,No
Dim Sums,Chicken Momos,"Chicken Momos Dough, Chicken Momos Filling, Cantonese Chilly Sauce, Spicy Peanut Sauce, Chives Dip, Dimsum Butter Paper, Oil",450,25,40,22,"Savory, Spicy","Juicy, Tender",Spicy chicken-filled momos with a savory kick.,500,No,No,Yes,No,No,No
Dim Sums,Veg Dimsum,"Water Dough for Veg Dimsum, Chopped Veg Dimsum Filling, Cantonese Chilly Sauce, Spicy Peanut Sauce, Chives Dip, Dimsum Butter Paper, Oil",300,10,45,15,"Fresh, Herbal","Soft, Tender",Soft dimsum filled with fresh vegetables.,500,Yes,Yes,No,No,Yes,Yes
Dim Sums,Chicken Dimsum,"Chicken Dimsum Dough, Chicken Coriander Filling, Cantonese Chilly Sauce, Spicy Peanut Sauce, Chives Dip, Dimsum Butter Paper, Oil",420,22,38,20,"Savory, Herbal","Juicy, Tender",Savory chicken-filled dimsum with coriander.,500,No,No,Yes,No,No,No
Dim Sums,Cream Cheese Water Chestnut Dimsum,"Water Dough, Cream Cheese Dumpling Filling, Cantonese Chilly Sauce, Spicy Peanut Sauce, Chives Dip, Dimsum Butter Paper, Oil",380,12,42,18,"Creamy, Nutty","Soft, Tender",Creamy dimsum filled with water chestnuts and cheese.,500,No,Yes,No,No,No,Yes
Tandoor,Pickled Fish Tikka,"Fish, Pickle, Classic Tikka Masala, Green Chutney, Salad, Lemon, Butter, Dill Leaves",450,35,20,25,"Tangy, Savory","Juicy, Tender",Tangy fish tikka from the tandoor.,500,No,No,Yes,No,Yes,No
Tandoor,Madras Curry Paneer Tikka,"Paneer, Cheese, Madras Curry Masala, Madras Curry Emulsion, Green Chutney, Salad, Lemon, Fried Curry Leaves",500,25,30,30,"Spicy, Creamy","Juicy, Tender",Spicy paneer tikka with Madras curry flavors.,500,No,Yes,No,No,Yes,Yes
Tandoor,Broccoli Tikka,"Broccoli, White Masala, Broccoli Tikka Emulsion, Green Chutney, Salad, Lemon, Parmesan Cheese",300,15,35,15,"Herbal, Savory","Crispy, Tender",Crispy broccoli tikka with a savory twist.,500,No,Yes,No,No,Yes,Yes
Tandoor,Korean Chilli Naan,"Kulcha Dough, Togarashi, Korean Chilly Powder, Coriander, Butter",350,10,50,15,"Garlicky, Spicy","Crispy, Fluffy",Spicy and garlicky naan with Korean flavors.,500,No,Yes,No,No,No,Yes
Tandoor,Pink Peppercorn Chicken Tikka,"Chicken Leg Boneless, Pink Tikka Marination, Pink Peppercorn Emulsion, Salad, Lemon, Pomegranate, Butter, Dill Leaves",400,40,20,22,"Smoky, Savory","Juicy, Tender",Smoky chicken tikka with pink peppercorn.,500,No,No,Yes,No,Yes,No
Tandoor,Pink Peppercorn Paneer Tikka,"Paneer, Pink Tikka Marination, Pink Peppercorn Emulsion, Salad, Lemon, Pomegranate, Dill Leaves",380,20,25,20,"Smoky, Savory","Juicy, Tender",Smoky paneer tikka with pink peppercorn.,500,No,Yes,No,No,Yes,Yes
Tandoor,Kulcha,"Kulcha Dough, Garlic, Coriander, Onion, Butter",300,8,45,12,"Garlicky, Buttery","Crispy, Fluffy",Buttery and garlicky kulcha bread.,500,No,Yes,No,No,No,Yes
Tandoor,Naan,"Kulcha Dough, Butter",250,6,40,10,"Buttery, Soft","Soft, Fluffy",Classic buttery naan bread.,500,No,Yes,No,No,No,Yes
